,authors,binding,date_published,edition,image,isbn,isbn13,msrp,publish_date,publisher,subjects,synopsys,title,title_long
27,['Random House'],Hardcover,1994,1,https://images.isbndb.com/covers/58/00/9780679415800.jpg,0679415807,9780679415800.0,6,1994,Random House Reference,,,Random House Biographical Dictionary (random House Pocket Dictionaries And Guides),Random House Biographical Dictionary (random House Pocket Dictionaries And Guides)
28,['Random House'],Paperback,2007,,https://images.isbndb.com/covers/23/18/9780375722318.jpg,0375722319,9780375722318.0,19.95,2007,Random House Reference,,,Random House Webster's Large Print Grammar & Usage (random House Reference),Random House Webster's Large Print Grammar & Usage (random House Reference)
29,"['Paula Rodenas', 'Paula Roderos']",Library Binding,1999,,https://images.isbndb.com/covers/75/61/9780613057561.jpg,0613057562,9780613057561.0,28.8,1999,Sagebrush Education Resources,,,Random House Book Of Horses And Horsemanship (random House Riders),Random House Book Of Horses And Horsemanship (random House Riders)
30,['Danielle Steel'],Hardcover,2006,,https://images.isbndb.com/covers/59/71/9780739325971.jpg,0739325973,9780739325971.0,30,2006,Random House Large Print,,,The House (random House Large Print),The House (random House Large Print)
31,['Random House'],Paperback,1996,,https://images.isbndb.com/covers/99/16/9780345909916.jpg,0345909917,9780345909916.0,4.99,1996,Ballantine Books (mm),,,The Random House Thesaurus,The Random House Thesaurus
32,"['Tony Geiss', 'Helicon Publishing Ltd. Staff']",,1995/11/01,1,https://images.isbndb.com/covers/45/40/9780679764540.jpg,0679764542,9780679764540.0,,,Random House Reference Publishing,['Encyclopedias'],,Random House Concise Encyclopedia,random_house_concise_encyclopedia
33,['Jess Stein'],Mass Market Paperback,1984,,https://images.isbndb.com/covers/29/82/9780345322982.jpg,0345322983,9780345322982.0,3.99,1984,Ballantine Books,,,The Random House Dictionary,The Random House Dictionary
34,['United Feature Syndication'],,7/28/1997,,https://images.isbndb.com/covers/76/34/9780812927634.jpg,081292763X,9780812927634.0,,,Random House Information Group,['Crossword Puzzles & Word Games'],,Random House Crossword Megaomnibus,random_house_crossword_megaomnibus
35,['Dictionary'],Hardcover,1991,,https://images.isbndb.com/covers/11/00/9780679401100.jpg,0679401105,9780679401100.0,18,1991,Random House Reference,,,Random House Webster's College,Random House Webster's College
36,['Leonard Roy Frank'],Paperback,2001,,https://images.isbndb.com/covers/96/84/9780375719684.jpg,0375719687,9780375719684.0,27.95,2001,Random House Reference,"['Quotations, English']",,Random House Webster's Quotationary,Random House Webster's Quotationary
37,"['Frank', 'Leonard Roy']",Hardcover,2000,,https://images.isbndb.com/covers/88/85/9780375408885.jpg,0375408886,9780375408885.0,17,2000,Random House Inc,,,Random House Webster's Quotationary,Random House Webster's Quotationary
38,['Dictionaries Miscellaneous'],,2001/06/01,,https://images.isbndb.com/covers/18/11/9780812421811.jpg,0812421817,9780812421811.0,,,Perfection Learning,['Literary Collections'],,Random House Webster's Dictionary,random-house-webster-s-dictionary
39,['Jule Kaufman'],Paperback,1977,1,https://images.isbndb.com/covers/29/03/9780394312903.jpg,0394312902,9780394312903.0,,1977,Random House,,,The Random House Workbook,The Random House Workbook
40,['Frederick Crews'],Hardcover,1991,6,https://images.isbndb.com/covers/63/66/9780070136366.jpg,007013636x,9780070136366.0,,1991,Mcgraw-hill Humanities/social Sciences/languages,,"<p><p>the Elegantly Written Random House Handbook, 6/e, Offers A Comprehensive Guide To Writing And Style, As Well As Special Applications.</p>",The Random House Handbook,The Random House Handbook
41,['Random House'],,2000,,https://images.isbndb.com/covers/10/01/9780072431001.jpg,0072431008,9780072431001.0,,2000,Mcgraw-hill Companies,,,Random House Websters Student,Random House Websters Student
42,['Glazier'],,,,https://images.isbndb.com/covers/17/53/9780394241753.jpg,0394241754,9780394241753.0,,,,,,Random House Word Menu,Random-house-word-menu
43,['Stanley Newman'],,2002/02/01,,https://images.isbndb.com/covers/46/70/9780812934670.jpg,0812934679,9780812934670.0,,,Random House Puzzles & Games,"['Games', 'Crosswords']",,Random House Bedtime Crosswords,random_house_bedtime_crosswords
44,['Ballantine'],Mass Market Paperback,June 2001,"Revised, Updated",https://images.isbndb.com/covers/72/65/9780345447265.jpg,0345447263,9780345447265.0,,2001-06-26,Random House Publishing Group,['English Dictionaries & Thesauri'],"<p>THE AUTHORITATIVE, COMPREHENSIVE, AND EASY-TO-USE THESAURUS FAVORED BY WRITERS AND STUDENTS ALIKE<br>* One simple alphabetical listing * More than 11,000 main entries * More than 200,000 synonyms and antonyms * Sample sentences for every main entry * Parts of speech shown for every main entry, synonym, and antonym * Extensive coverage of all levels of vocabulary and usage, with informal and slang words identified * Edited and designed for easy access * All entries edited to help in vocabulary building<br>The Random House imprint has long stood for excellence in the reference field. Random House reference books--prepared by its permanent lexicographic staff with the assistance of many hundreds of scholars, educators, and specialists--have been widely acclaimed for their outstanding quality and usefulness.<br><br><i>From the Paperback edition.</i></p>",Random House Roget's Thesaurus,random-house-rogets-thesaurus
45,,Hardcover,1962,,https://images.isbndb.com/covers/44/17/9789993174417.jpg,9993174416,9789993174417.0,,1962,Random House,,,Random House Russian Dictionary,Random House Russian Dictionary
46,['Leonard Roy Frank'],,1998,,https://images.isbndb.com/covers/43/17/9781402844317.jpg,140284431x,9781402844317.0,,1998,,,,Random House Webster's Quotationary,Random-house-webster-s-quotationary
47,['Francesca L. Langbaum'],Paperback,1995/11/01,2nd,https://images.isbndb.com/covers/43/04/9780679764304.jpg,0679764305,9780679764304.0,,1995-11-21,Random House Reference Publishing,['Literary Collections'],,Random House French Dictionary,random_house_french_dictionary
48,"['Mel Rosen', 'Stanley Newman']",,2000/04/01,,https://images.isbndb.com/covers/29/04/9780812932904.jpg,0812932900,9780812932904.0,,,Random House Puzzles & Games,['Literary Collections'],,Random House Club Crosswords,random_house_club_crosswords
49,['Dictionary'],Hardcover,1993,1,https://images.isbndb.com/covers/42/07/9780679744207.jpg,0679744207,9780679744207.0,8,1993,Random House Reference,"['English Language', 'Dictionaries']",,Random House Webster's School/,Random House Webster's School/
50,['Stuart B. Flexner'],,September 1990,,https://images.isbndb.com/covers/28/90/9780676392890.jpg,067639289X,9780676392890.0,,,Amer School Pub,['Language Arts & Disciplines'],,Random House School Dictionary,random_house_school_dictionary
51,['Random House'],Hardcover,1989,,https://images.isbndb.com/covers/71/01/9780679727101.jpg,0679727108,9780679727101.0,12.95,1989,Random House Reference,,,The Random House Thesaurus,The Random House Thesaurus
52,"['Random House', 'Robert J. Masters', 'Leonore Crary Hauck', 'Random House Reference']",Hardcover,1/18/1994,Revised,https://images.isbndb.com/covers/91/73/9780679429173.jpg,0679429174,9780679429173.0,,1994-01-18,"New York : Random House, c1993.",['English Dictionaries & Thesauri'],,Random House unabridged dictionary,random_house_unabridged_dictionary_a01
53,['Mitchel'],,8/12/1977,,https://images.isbndb.com/covers/73/02/9780394407302.jpg,039440730X,9780394407302.0,,,"New York : Random House, c1977.",['Encyclopedias'],,The Random House encyclopedia,the_random_house_encyclopedia
54,['Stephen Glazier'],Hardcover,1996,,https://images.isbndb.com/covers/32/44/9780517173244.jpg,0517173247,9780517173244.0,7.99,1996,Random House Value Publishing,,,Random House Word Menu,Random House Word Menu
55,['Frederick C Crews'],Hardcover,1974,1,https://images.isbndb.com/covers/06/57/9780394310657.jpg,0394310659,9780394310657.0,,1974,Random House,,,The Random House Handbook,The Random House Handbook
56,['Random House'],,January 2002,,https://images.isbndb.com/covers/22/43/9780681602243.jpg,0681602244,9780681602243.0,,,,['Literary Collections'],,Random House Webster's College,random-house-webster-s-college
57,['Alvin Granowsky'],Paperback,1988,,https://images.isbndb.com/covers/18/43/9780074871843.jpg,0074871846,9780074871843.0,,1988,Sra Mcgraw Hill,,,Random House Phonics 2,Random House Phonics 2
58,['Unknown'],Library Binding,1999,3,https://images.isbndb.com/covers/38/80/9780808503880.jpg,080850388x,9780808503880.0,13.55,1999,Bt Bound,,,Random House Webster's Dictionary,Random House Webster's Dictionary
59,['Michael Hennessy'],Paperback,1992,2,https://images.isbndb.com/covers/63/73/9780070136373.jpg,0070136378,9780070136373.0,41.2,1992,Mcgraw-hill College,,,Random House Practice Book,Random House Practice Book
60,['Random House'],Paperback,1998,,https://images.isbndb.com/covers/06/77/9780073660677.jpg,0073660671,9780073660677.0,12.8,1998,Mcgraw-hill College,,,Random House Concise Thesaurus,Random House Concise Thesaurus
61,['Ann Jessie Van Sant'],Paperback,1984,4,https://images.isbndb.com/covers/24/99/9780394332499.jpg,0394332490,9780394332499.0,,1984,Random House,,,The Random House Workbook,The Random House Workbook
62,['Geiss Tony'],,1996/08/01,,https://images.isbndb.com/covers/70/59/9780345387059.jpg,0345387058,9780345387059.0,,,Ballantine Books,,,Random House Webster's Dictionary,random-house-webster-s-dictionary
63,['Dictionary'],,June 1996,,https://images.isbndb.com/covers/09/56/9780345400956.jpg,034540095X,9780345400956.0,,,"Ballantine Books,",['Literary Collections'],,Random House Webster's dictionary,random_house_websters_dictionary
64,['Jess Stein and  Stuart Berg Flexner'],Hardcover,1989/08/01,College ed,https://images.isbndb.com/covers/94/93/9780394529493.jpg,0394529499,9780394529493.0,,1984-07-12,"New York : Ballantine Books, c1984.",['English Dictionaries & Thesauri'],,The Random House thesaurus,the_random_house_thesaurus
65,,,,,https://images.isbndb.com/covers/17/75/9780394021775.jpg,0394021770,9780394021775.0,,,"New York : Random House School Division, C1974.",,,Random House Mathematics Program,Random_house_mathematics_program
66,['Random House'],Paperback,2003,,https://images.isbndb.com/covers/00/93/9780375720093.jpg,037572009x,9780375720093.0,15.95,2003,Random House Reference,,,Random House Writer's Reference,Random House Writer's Reference
67,"['E. James (editor); Ernst, Joseph Albert (editor); Silbey, Joel H. (editor); Weinstein, Allen (editor); Wilson, R. Jackson (editor); Glad, Paul W. (editor). Ferguson']",Paperback,1981,1,https://images.isbndb.com/covers/26/81/9780394322681.jpg,0394322681,9780394322681.0,,1981,Random House,,,The Random House Reader,The Random House Reader
68,['Stuart Flexner'],Hardcover,1990,,https://images.isbndb.com/covers/70/55/9780075057055.jpg,0075057050,9780075057055.0,,1990,Mcgraw-hill Inc,,,Random House School Dictionary,Random House School Dictionary
69,['Random House'],Paperback,1997,,https://images.isbndb.com/covers/23/37/9780517192337.jpg,0517192330,9780517192337.0,5.99,1997,Random House Value Publishing,,,Random House Concise Encyclopedia,Random House Concise Encyclopedia
70,['Frederick C Crews'],Hardcover,1984,4,https://images.isbndb.com/covers/39/54/9780394323954.jpg,0394323955,9780394323954.0,,1984,Random House,"['English language--Rhetoric', 'English language--Grammar']",Frederick Crews. Includes Bibliographical References And Index.,The Random House Handbook,The Random House Handbook
71,['Frederick Crews'],Paperback,1981,1,https://images.isbndb.com/covers/59/73/9780075535973.jpg,0075535971,9780075535973.0,12.95,1981,Random House Inc,,,The Random House Reader,The Random House Reader
72,['Frederick C Crews'],Unbound,1977,2,https://images.isbndb.com/covers/21/18/9780394312118.jpg,0394312112,9780394312118.0,,1977,Random House,,Frederick Crews. Includes Index.,The Random House Handbook,The Random House Handbook
73,['Frederick C Crews'],Hardcover,1988,5,https://images.isbndb.com/covers/94/43/9780394339443.jpg,0394339444,9780394339443.0,,1988,Random House,"['English language--Rhetoric', 'English language--Grammar', 'PE1408 .C715 1987', '808/.042']",Frederick Crews. Includes Bibliographies And Index.,The Random House Handbook,The Random House Handbook
74,,,,,https://images.isbndb.com/covers/18/05/9780394021805.jpg,0394021800,9780394021805.0,,,"New York : Random House School Division, C1974.",,,Random House Mathematics Program,Random_house_mathematics_program_a01
75,['Laurie E. Rozakis Ph.d.'],Hardcover,1991,,https://images.isbndb.com/covers/86/04/9780679408604.jpg,0679408606,9780679408604.0,6,1991,Random House Reference,,,Random House Power Vocabulary,Random House Power Vocabulary
76,['Storey Publishing Staff'],Paperback,1997,,https://images.isbndb.com/covers/16/22/9780676571622.jpg,067657162x,9780676571622.0,,1997,Storey Books,,,"Vegetables, Random House Book","Vegetables, Random House Book"
77,['Random House'],,,,https://images.isbndb.com/covers/36/09/9780345913609.jpg,0345913604,9780345913609.0,,,,,,Random House Roget's Thesaurus,Random-house-roget's-thesaurus
78,['Random House Value Publishing Staff'],,1993/09/01,,https://images.isbndb.com/covers/57/01/9780679415701.jpg,067941570X,9780679415701.0,,,Random House USA Inc,,,Random House Geographical Dictionary,random_house_geographical_dictionary
79,['Random House'],Paperback,1999,,https://images.isbndb.com/covers/59/86/9780345915986.jpg,0345915984,9780345915986.0,,1999,Ballantine Books,,,Random House Roget's Thesaurus,Random House Roget's Thesaurus
80,"['Random House Inc', 'Mitchell James', 'Geiss Tony']",Hardcover,1990/10/01,3rd,https://images.isbndb.com/covers/45/08/9780394584508.jpg,0394584503,9780394584508.0,,1990-10-01,"New York, N.Y. : Random House, c1990.",['Encyclopedias'],,The Random House encyclopedia,the_random_house_encyclopedia_a01
81,['Frederick C Crews'],Unbound,1980,3,https://images.isbndb.com/covers/37/87/9780394323787.jpg,0394323785,9780394323787.0,,1980,Random House,,,The Random House Handbook,The Random House Handbook
82,['Frederick Crews'],Hardcover,1987,5,https://images.isbndb.com/covers/42/95/9780075554295.jpg,0075554291,9780075554295.0,,1987,Random House,,,The Random House Handbook,The Random House Handbook
83,['Frederick Crews'],Hardcover,December 1991,6,https://images.isbndb.com/covers/63/66/9780070136366.jpg,007013636X,9780070136366.0,,1991-12-01,"McGraw-Hill Companies, The","['Rhetoric - English Language', 'English Grammar']","<p><P>The elegantly written RANDOM HOUSE HANDBOOK, 6/e, offers a comprehensive guide to writing and style, as well as special applications.</p>",The Random House Handbook,the-random-house-handbook
84,['Random House'],,2003,,https://images.isbndb.com/covers/00/93/9780375720093.jpg,037572009X,9780375720093.0,,,Random House Reference,"['Reference', 'General']",,Random House Writer's Reference,random-house-writer-s-reference
85,['Random House'],Paperback,2002,3,https://images.isbndb.com/covers/87/72/9780606208772.jpg,0606208771,9780606208772.0,13.8,2002,Demco Media,,,Random House Roget's Thesaurus,Random House Roget's Thesaurus
86,['Stephen Glazier'],Paperback,1996/08/01,"Revised, Subsequent",https://images.isbndb.com/covers/96/38/9780679449638.jpg,0679449639,9780679449638.0,,1996-10-08,"New York : Random House, c1997.","['English Dictionaries & Thesauri', 'Vocabulary']",,Random House word menu,random_house_word_menu_a01
87,,,,,https://images.isbndb.com/covers/18/36/9780394021836.jpg,0394021835,9780394021836.0,,,"New York : Random House School Division, C1974.",,,Random House Mathematics Program,Random_house_mathematics_program_a02
88,['Knowledge Adventure'],Audio Cassette,1996,,https://images.isbndb.com/covers/33/64/9780679883364.jpg,0679883363,9780679883364.0,21.96,1996,Random House Books For Young Readers,,,Random House Kid's Encyclopedia,Random House Kid's Encyclopedia
89,['Jule Kaufman'],Paperback,1980,2,https://images.isbndb.com/covers/19/98/9780394321998.jpg,0394321995,9780394321998.0,,1980,Random House,,,The Random House Workbook,The Random House Workbook
90,['Random House'],Paperback,1998,,https://images.isbndb.com/covers/21/12/9780375702112.jpg,0375702113,9780375702112.0,27.95,1998,Random House Reference,,,Random House Webster's Large Print Thesaurus (random House Newer Words Faster),Random House Webster's Large Print Thesaurus (random House Newer Words Faster)
91,['Associated Press'],,November 1997,,https://images.isbndb.com/covers/90/89/9780812929089.jpg,081292908X,9780812929089.0,,,Random House Information Group,"['Games', 'Crosswords']","<p><P><i>Random House Sunday MegaOmnibus, Volume 2</i>, includes 300 outstanding Sunday-size crosswords. The puzzles inside were originally published by the Associated Press for many of America's biggest newspapers. <br><br>With over 40,000 clues and over 100,000 boxes to fill in, <i>Random House Sunda MegaOmnibus, Volume 2</i>, will bring you many months of puzzle fun.</p>","Random House Sunday Megaomnibus, Vol. 2",random-house-sunday-megaomnibus
92,['Stanley Newman'],Paperback,1999,,https://images.isbndb.com/covers/21/33/9780812932133.jpg,0812932137,9780812932133.0,17.5,1999,Random House Puzzles & Games,,"<p><p>never Accomplished Before... Never Attempted Before... Never Dreamed Of Before... <b>the Random House Monster Crossword Puzzle Omnibus</b> Contains A Jaw-dropping <i>one Thousand</i> Crossword Puzzles! For This Price, This Is One Monster Solvers Will Fall In Love With.</p>","Random House Monster Crossword Puzzle Omnibus, Volume 1 (random House Crosswords)","Random House Monster Crossword Puzzle Omnibus, Volume 1 (random House Crosswords)"
93,['Mel Rosen'],Paperback,2007,,https://images.isbndb.com/covers/24/48/9780375722448.jpg,0375722440,9780375722448.0,12.95,2007,Random House Puzzles & Games,,"<p>an Omnibus Edition Of 200 Casual Crosswords!<br><br>&#8226; Straightforward, Uncomplicated Puzzles Are Carefully Crafted And Meticulously Tested To Assure That They're Not Too Difficult.<br><br>&#8226; Every Page Includes Helpful Tips And Tricks So That You Can Improve Your Skills.</p>","Random House Casual Crossword Omnibus, Volume 1 (random House Casual Crosswords)","Random House Casual Crossword Omnibus, Volume 1 (random House Casual Crosswords)"
94,['Random House'],Paperback,1998,,https://images.isbndb.com/covers/10/61/9780375701061.jpg,0375701060,9780375701061.0,27.95,1998,Random House Reference,,,Random House Webster's Large Print Dictionary (random House Newer Words Faster),Random House Webster's Large Print Dictionary (random House Newer Words Faster)
95,['Stanley Newman'],Paperback,1999,,https://images.isbndb.com/covers/05/97/9780812930597.jpg,0812930592,9780812930597.0,17.5,1999,Random House Puzzles & Games,,,"Random House Monster Sunday Crossword Omnibus, Volume 1 (random House Crosswords)","Random House Monster Sunday Crossword Omnibus, Volume 1 (random House Crosswords)"
96,['Roger Phillips'],Paperback,1988,1,https://images.isbndb.com/covers/86/71/9780394758671.jpg,0394758676,9780394758671.0,27.5,1988,Random House,,,Random House Book Of Roses (random House Book Of ... (garden Plants)),Random House Book Of Roses (random House Book Of ... (garden Plants))
97,['Ballantine Books Staff'],Paperback,1990-11-01,,https://images.isbndb.com/covers/53/90/9780345385390.jpg,034538539x,9780345385390.0,10.98,,Ballantine Books,,,Classic Reference For The Nineties!: Random House Webster's Dictionary/random House Thesaurus,Classic Reference For The Nineties!: Random House Webster's Dictionary/random House Thesaurus
98,['Belva Plain'],Hardcover,2002,,https://images.isbndb.com/covers/16/85/9780375431685.jpg,0375431683,9780375431685.0,27.95,2002,Random House Large Print,,,Her Father's House (random House Large Print),Her Father's House (random House Large Print)
99,['Margaret Truman'],Hardcover,2003,,https://images.isbndb.com/covers/34/50/9780375433450.jpg,0375433457,9780375433450.0,29.95,2003,Random House Large Print,,,The President's House (random House Large Print),The President's House (random House Large Print)
100,['Stephen Glazier'],,1998/09/01,,https://images.isbndb.com/covers/08/35/9780375700835.jpg,0375700838,9780375700835.0,,,"New York : Random House, c1998.","['Language Arts &amp; Disciplines', 'Reference']",,Random House Webster's word menu,random_house_websters_word_menu
101,['Lisa Gardner'],Hardcover,2005-01-11,1,https://images.isbndb.com/covers/43/89/9780375434389.jpg,0375434380,9780375434389.0,26,,Random House Large Print,,,Alone (random House Large Print),Alone (random House Large Print)
102,['Random House'],Hardcover,1998,,https://images.isbndb.com/covers/06/91/9780073660691.jpg,0073660698,9780073660691.0,17.75,1998,Mcgraw-hill College,,,Random House Webster's College Dictionary,Random House Webster's College Dictionary
103,['Random House'],Hardcover,1999/04/01,Indexed,https://images.isbndb.com/covers/74/13/9780375407413.jpg,0375407413,9780375407413.0,,1999-04-27,"New York : Random House, 1999.","['Reference', 'Dictionaries']",,Random House Webster's college dictionary,random_house_websters_college_dictionary_a07
